,Name,sigma0,sigma_global,MV,Re,mV0,re
0,AU010,8,6.1,-7.595,2.05,16.86547301,0.542106222
1,B005-G052,17.3,13.3,-9.295,2.269999981,15.16547301,0.60028347
2,B006-G058,13.1,10.6,-9.395,1.862087137,15.06547301,0.492414157
3,B008-G060,7.6,6.1,-8.57,3.18,15.89047301,0.840925749
4,B010-G062,6.7,5.6,-8.395,6.66,16.06547301,1.761184115
5,B012-G064,20.4,16.1,-9.77,3.614098626,14.69047301,0.955719683
6,B013-G065,5,4.2,-7.795,6.53,16.66547301,1.726806647
7,B017-G070,13.2,10.4,-9.87,3.089999914,14.59047301,0.817125941
8,B019-G072,19.3,15.3,-10.17,2.670000076,14.29047301,0.706060318
9,B020-G073,16.9,13.7,-9.72,3.169567463,14.74047301,0.838166947
10,B020D-G089,7.6,5.9,-8.52,2.78,15.94047301,0.735148925
11,B021-G075,5.7,4.5,-8.42,2.900000095,16.04047301,0.766881997
12,B023-G078,33,27.2,-11.37,3.539973411,13.09047301,0.936117859
13,B025-G084,10,8.4,-8.77,1.690000057,15.69047301,0.446907095
14,B026-G086,5.4,4.5,-7.795,2.369999886,16.66547301,0.62672765
15,B027-G087,13.6,11.1,-9.395,2.985382619,15.06547301,0.789460728
16,B028-G088,6.7,5.6,-8.17,2.410000086,16.29047301,0.637305386
17,B029-G090,7.1,5.6,-8.645,4.99,15.81547301,1.319565876
18,B030-G091,8.9,7.3,-9.12,1.972422736,15.34047301,0.52159153
19,B031-G092,6.4,5.4,-7.695,1.799999952,16.76547301,0.475995694
20,B035,6.9,5.5,-7.645,1.299999952,16.81547301,0.343774664
21,B036,6.6,5.4,-7.92,1.889999986,16.54047301,0.499795488
22,B038-G098,12.9,10.8,-9.195,1.940000057,15.26547301,0.51301761
23,B039-G101,15.4,12.2,-10.145,2.75999999,14.31547301,0.729860081
24,B042-G104,24.9,20,-10.72,2.037042078,13.74047301,0.538679602
25,B045-G108,10.6,8.7,-9.245,2.857590543,15.21547301,0.755667128
26,B045D,2.6,2.1,-6.77,1.18,17.69047301,0.31204163
27,B050-G113,8.9,7,-8.495,1.74000001,15.96547301,0.460129186
28,B056-G117,6.9,5.7,-7.92,1.89,16.54047301,0.499795492
29,B057-G118,6,4.7,-7.195,2.68,17.26547301,0.708704719
30,B058-G119,23,18.7,-9.895,2.328091258,14.56547301,0.615645246
31,B060-G121,8.2,6.9,-8.195,1.820000052,16.26547301,0.481284562
32,B063-G124,18.2,14.6,-10.145,2.387811283,14.31547301,0.631437733
33,B064D-NB6,11.3,8.4,-8.495,4.15,15.96547301,1.097434546
34,B065-G126,6.5,5.4,-8.145,2.670000076,16.31547301,0.706060318
35,B067-G129,8.2,6.2,-7.52,3.53,16.94047301,0.933480469
36,B068-G130,11.7,9.1,-9.445,2.588212915,15.01547301,0.684432353
37,B070-G133,10.6,8.4,-8.345,2.46,16.11547301,0.650527466
38,B073-G134,12,9.9,-8.895,1.41,15.56547301,0.372863304
39,B074-G135,7.1,5.9,-8.295,2.910000086,16.16547301,0.769526415
