,Name,E(B-V),D,Mass,mV,Re,Rhm,sigma0,sigma_global,(m-M)V,MV,re,mV0,,,,,,,,
0,NGC_104,0.04,4.52,853000,4.08,4.03,6.44,11.9,8.715283013,13.27569217,-9.319692174,183.9041922,3.956,,,,,,,,
1,NGC_288,0.03,8.99,96200,8.1,5.84,8.56,3.1,2.538636771,14.76879846,-6.761798459,133.9918019,8.007,,,,,,,,
2,NGC_362,0.05,8.83,252000,6.48,2.21,3.36,8.6,6.558137899,14.72980352,-8.404803518,51.62459935,6.325,,,,,,,,
4,NGC_1261,0.01,16.4,172000,8.31,3.25,4.86,5.7,4.505012512,16.07421924,-7.79521924,40.87564704,8.279,,,,,,,,
8,Pal_2,1.24,26.17,220000,12.64,4.82,7.64,5,4.063633892,17.08901861,-8.293018613,37.98992567,8.796,,,,,,,,
9,NGC_1851,0.02,11.95,283000,7.07,1.75,3.16,10.3,7.166375975,15.38683953,-8.378839526,30.20614296,7.008,,,,,,,,
10,NGC_1904,0.01,13.08,181000,7.94,2.58,4.33,6.7,4.896043322,15.58303872,-7.67403872,40.68525942,7.909,,,,,,,,
11,NGC_2298,0.14,9.83,49800,9.06,2.41,3.2,3.9,2.987373987,14.96276759,-6.336767589,50.56949879,8.626,,,,,,,,
12,NGC_2419,0.08,88.47,783000,10.56,19.76,26.37,5.1,4.126441845,19.73398014,-9.421980136,46.06976945,10.312,,,,,,,,
14,NGC_2808,0.22,10.06,791000,6.13,2.45,3.75,13.8,10.99822298,15.0129899,-9.564989904,50.23347568,5.448,,,,,,,,
17,NGC_3201,0.24,4.74,193000,6.77,5.17,8.68,4.5,3.570826134,13.37889171,-7.352891708,224.9765033,6.026,,,,,,,,
19,NGC_4147,0.02,18.54,45100,10.29,2.53,3.47,3.6,2.730067885,16.34054865,-6.112548649,28.14724685,10.228,,,,,,,,
20,NGC_4372,0.39,5.71,189000,7.37,5.77,8.34,4.4,3.604937914,13.78318054,-7.622180541,208.4321413,6.161,,,,,,,,
22,NGC_4590,0.05,10.4,128000,7.99,4.44,7.27,4,3.177515605,15.0851667,-7.250166696,88.05920039,7.835,,,,,,,,
23,NGC_4833,0.32,6.48,186000,7.19,3.26,4.58,6,4.825848078,14.05787503,-7.859875029,103.7690141,6.198,,,,,,,,
24,NGC_5024,0.02,18.5,502000,7.7,6.46,10.03,6.8,5.357365847,16.33585864,-8.697858642,72.02543752,7.638,,,,,,,,
26,NGC_5139,0.12,5.43,3940000,3.5,7.56,10.42,18,14.72530043,13.67399915,-10.54599915,287.1751248,3.128,,,,,,,,
27,NGC_5272,0.01,10.18,409000,6.39,3.4,5.47,8.2,6.548139207,15.03873889,-8.67973889,68.89001131,6.359,,,,,,,,
28,NGC_5286,0.24,11.1,424000,7.35,2.37,3.58,10.7,8.241216582,15.22661489,-8.620614894,44.04032283,6.606,,,,,,,,
30,NGC_5466,0,16.12,56100,9.32,9.55,13.75,1.9,1.529607464,16.03682519,-6.716825187,122.1978083,9.32,,,,,,,,
31,NGC_5634,0.05,25.96,247000,9.51,4.57,7.72,5.9,4.283410916,17.07152344,-7.716523441,36.31086883,9.355,,,,,,,,
32,NGC_5694,0.09,34.84,269000,9.86,3.08,4.35,9.3,5.954995316,17.71039073,-8.129390732,18.23466135,9.581,,,,,,,,
33,IC_4499,0.23,18.89,150000,9.84,10.26,14.96,2.9,2.3978927,16.38115979,-7.25415979,112.0315884,9.127,,,,,,,,
34,NGC_5824,0.13,31.71,746000,8.86,4.51,6.31,11.3,8.233882152,17.50598121,-9.04898121,29.33630621,8.457,,,,,,,,
36,NGC_5897,0.09,12.55,167000,8.48,7.62,10.9,3.6,2.964113977,15.49321863,-7.292218629,125.2380582,8.201,,,,,,,,
37,NGC_5904,0.03,7.48,392000,5.95,3.52,5.6,7.9,6.335763136,14.36950799,-8.512507989,97.06578401,5.857,,,,,,,,
38,NGC_5927,0.45,8.27,293000,7.74,3.11,5.92,6.6,5.327492776,14.58752755,-8.242527548,77.56753533,6.345,,,,,,,,
39,NGC_5946,0.54,9.64,113000,9.49,1.96,2.83,6.2,4.785153972,14.92038517,-7.10438517,41.93765712,7.816,,,,,,,,
40,NGC_5986,0.28,10.54,299000,7.7,2.84,4.35,8,6.27828286,15.11420305,-8.282203054,55.57799199,6.832,,,,,,,,
41,Lynga_7,0.73,7.9,67500,9.87,3.91,4.97,3.4,2.790767166,14.48813546,-6.881135456,102.088016,7.607,,,,,,,,
43,NGC_6093,0.18,10.34,321000,7.43,1.93,2.82,11.1,8.07937702,15.07260269,-8.200602694,38.50010362,6.872,,,,,,,,
44,NGC_6121,0.35,1.85,90400,5.65,2.5,3.95,4.7,3.622726768,11.33585864,-6.770858642,278.736055,4.565,,,,,,,,
45,NGC_6101,0.05,14.45,174000,8.68,9.59,13.87,3.3,2.682170035,15.79933924,-7.274339235,136.8912942,8.525,,,,,,,,
