Name,Type,RAJ2000,DEJ2000,VMAG,M*,n_M*,Re,sigma,Refs,Central?,Reference,SimbadName,LogM*,Environment,UCD_Type,Re_err,sigma_err,MV_err
UCD1/Firth07-13,5,54.263458,-35.634639,-12.3,19730000,*,22.4,29,"30,18, 11,17,41",N,11,[GDE2009] UCD 1,7.295127,NGC 1399,UKW,,1,
UCD2/FCOS2-2111/F-1,5,54.526375,-35.483,-12.4,14970000,*,23.1,22.2,"30,36,11,17,39,14,41",N,14 (41),[GDE2009] UCD 2,7.175222,NGC 1399,UKW,,,
FCOS2-2153/UCDm/F-2/UCD25,5,54.527,-35.384389,-11.5,1429000,*,23.1,19.9,"37,39,40,14,41",N,14 (41),[GDE2009] UCD 25,6.155032,NGC 1399,UKW,,,
FCOS2-2134/F-5/UCD28,5,54.545,-35.4295,-11.6,13650000,*,5,25.4,"39,14,41",N,14 (41),[GDE2009] UCD 28,7.135133,NGC 1399,UKW,,,
FCOS0-2023/F-34,5,54.552917,-35.4825,-10.9,4733000,*,4,15.3,"39,14,41",N,14 (41),FCOS 0-2023,6.6751366,NGC 1399,UKW,,,
FCOS0-2024/UCD31/F-6,5,54.568792,-35.438694,-11.2,1799000,*,7.3,14,"36,39,40,41",N,14 (41),[GDE2009] UCD 31,6.255031,NGC 1399,UKW,,,
FCOS0-2089/F-51,5,54.571208,-35.441889,-10.7,4520000,*,4.2,20.9,"39,14,41",N,14 (41),FCOS 0-2089,6.6551385,NGC 1399,UKW,,,
UCD33/F-7,5,54.573375,-35.550778,-11.1,4122000,*,11.4,12.2,"17,40,14,41",N,14 (41),[GDE2009] UCD 33,6.615108,NGC 1399,UKW,,,
FCOS0-2066/F-8/UCD36,5,54.596792,-35.3335,-11.4,11220000,*,6.7,30.2,"39,14,37,41",N,14 (41),[GDE2009] UCD 36,7.049993,NGC 1399,UKW,,,
FCOS1-2024/UCD39/F-9,5,54.606417,-35.6285,-11.4,7854000,*,9.1,28.4,"39,40,14,41",N,14 (41),[GDE2009] UCD 39,6.895091,NGC 1399,UKW,,,
FCOS0-2030/F-11,5,54.618083,-35.427306,-11.5,8224000,*,3.6,23.7,"39,14,41",N,14 (41),FCOS 0-2030,6.915083,NGC 1399,UKW,,,
FCOS1-2095/F-17,5,54.640917,-35.4325,-10.9,4520000,*,3.3,28,"39,14,41",N,14 (41),FCOS 1-2095,6.6551385,NGC 1399,UKW,,,
FCOS1-2077/F-53,5,54.669,-35.486111,-10.7,4316000,*,4.5,14.5,"39,14,41",N,14 (41),FCOS 1-2077,6.6350813,NGC 1399,UKW,,,
UCD3/Firth07-26/FCOS1-2053/F-19,5,54.725208,-35.559333,-13.45,49560000,*,86.5,27.4,"30,37,18,11,17,39,40,14,41",N,39,[GDE2009] UCD 3,7.6951313,NGC 1399,NSC,6.2,5.1,0.1
UCD46/Firth07-27/FCOS1-060/F-22,5,54.823625,-35.425056,-11.4,9018000,*,10,29.1,"18,17,39,14,41",N,14 (41),[GDE2009] UCD 46,6.95511,NGC 1399,UKW,,,
UCD4/Firth07-29/FCOS1-2083/F-24,5,54.899583,-35.4735,-12.6,14290000,*,29.5,29.1,"30,18, 11,17,39,14,41",N,14 (41),[GDE2009] UCD 4,7.155032,NGC 1399,UKW,,,
UCD5/Firth07-31,5,54.968917,-35.073389,-12.1,6533000,*,25,22.9,"30,18,11,17,41",N,41,[GDE2009] UCD 5,6.8151126,NGC 1399,UKW,,,
VUCD1,5,187.531708,12.608639,-12.4,10840000,*,12.1,34.1,"29,16,17,4,41",N,16,[JDJ2006] 1,7.0350294,NGC 4486,UKW,,,
S999,5,187.691292,12.417167,-11.1,2484000,*,20.1,25.6,"56,41",Y,56,[SFH81] 999,6.3951516,NGC 4486,NSC,0.98,1.4,0.16
H8005,5,187.692542,12.406472,-10.8,2372000,*,28.7,9.1,"56,41",N,56,[SFH81] 8005,6.375115,NGC 4486,MGC,0.55,1.9,0.16
S928,5,187.69875,12.408556,-11.5,4316000,*,23.2,22.4,"56,41",Y,56,[SFH81] 928,6.6350813,NGC 4486,UKW,1.37,1,0.16
S490,5,187.747083,12.356389,-11,9888000,*,3.6,42.1,"56,41",N,56,[SFH81] 490,6.9951086,NGC 4486,UKW,0.36,2.7,0.16
S417,5,187.75625,12.323611,-11.8,9018000,*,14.4,32.9,"56,16,41",Y,56,[SFH81] 417,6.95511,NGC 4486,UKW,0.36,1.6,0.16
VUCD4,5,187.768792,11.943556,-12.4,8612000,*,23.2,23.9,"29,16,17,4,41",N,16,[JDJ2006] 4,6.935104,NGC 4486,UKW,,,
S314,5,187.77125,12.334444,-10.9,7163000,*,3.2,35.3,"56,41",Y,56,[SFH81] 314,6.855095,NGC 4486,UKW,0.19,1.4,0.16
VUCD6,5,187.868375,12.417583,-12.2,9443000,*,17.4,25.2,"29,16,17,41",N,16,[JDJ2006] 6,6.97511,NGC 4486,UKW,,,
VUCD7,5,187.970542,12.266528,-13.6,16410000,*,100.6,38,"29,16,17,41",N,16,[JDJ2006] 7,7.2151084,NGC 4486,NSC,,,
M59cO,5,190.480542,11.667694,-13.4,75010000,*,32,28.3,"10,41",N,44,Name M59cO,7.875119,NGC 4486,NSC,,,
HGHH92-C29/GC0041,5,201.168333,-43.301083,-10.1,2265000,*,6.8,19.7,"54,41",Y,54,[HGH92] G 29,6.355068,NGC 5128,UKW,,,
