,Name,E(B-V),D,er_D,Mass,er_Mass,MLR,er_MLR,mV,er_mV,Re,Rhm,sigma0,sigma_global,er_sigma_global,(m-M)V,er_(m-M)V,MV,er_MV,re,er_re,mV0
0,NGC_104,0.04,4.52,0.03,853000.0,5350.0,1.87,0.09,4.08,0.05,4.03,6.44,11.9,8.715283013119961,0.02733104579143716,13.27569217405691,0.01441242749678933,-9.319692174056911,0.0520357383569236,183.904192237301,5.917647422080821e-06,3.956
1,NGC_288,0.03,8.99,0.09,96200.0,3750.0,2.22,0.12,8.1,0.04,5.84,8.56,3.1,2.5386367713736147,0.04947966680172066,14.768798458666144,0.021738878404500922,-6.761798458666144,0.045525584392577284,133.99180189547474,6.503329966184519e-06,8.007
2,NGC_362,0.05,8.83,0.1,252000.0,3910.0,1.28,0.04,6.48,0.03,2.21,3.36,8.6,6.558137898852295,0.05087761742958824,14.729803517887841,0.02459198651773793,-8.404803517887842,0.038791310894175826,51.62459935309009,2.8344633072442696e-06,6.325
4,NGC_1261,0.01,16.4,0.19,172000.0,3220.0,1.54,0.06,8.31,0.04,3.25,4.86,5.7,4.5050125122079985,0.042169012468923704,16.07421924023849,0.025157302305371294,-7.795219240238492,0.04725346399242959,40.87564704437053,2.2958803381534946e-06,8.279
8,Pal_2,1.24,26.17,1.28,220000.0,38900.0,1.26,0.23,12.64,0.06,4.82,7.64,5.0,4.063633892037551,0.35926217818241074,17.089018613199407,0.1062088148330459,-8.293018613199406,0.12198488573688229,37.989925673257964,9.008439119826204e-06,8.796000000000001
9,NGC_1851,0.02,11.95,0.13,283000.0,3630.0,1.48,0.06,7.07,0.04,1.75,3.16,10.3,7.1663759751277984,0.04596103319737439,15.386839526420783,0.023622712404779388,-8.378839526420784,0.04645462884749934,30.20614295833032,1.5931093301665074e-06,7.008
10,NGC_1904,0.01,13.08,0.18,181000.0,6880.0,1.81,0.1,7.94,0.04,2.58,4.33,6.7,4.896043322086677,0.09305187308275233,15.58303871994124,0.029882647837379706,-7.6740387199412385,0.04992967696443523,40.68525942017928,2.7144178726757293e-06,7.909000000000001
11,NGC_2298,0.14,9.83,0.17,49800.0,2930.0,1.7,0.11,9.06,0.03,2.41,3.2,3.9,2.987373986518139,0.08788158414154766,14.962767589160677,0.037553439432122485,-6.336767589160676,0.04806517255957885,50.56949878898915,4.239932104929792e-06,8.626000000000001
12,NGC_2419,0.08,88.47,2.4,783000.0,117000.0,1.61,0.24,10.56,0.03,19.76,26.37,5.1,4.126441844707684,0.3082973792022982,19.733980136357303,0.058907355971956836,-9.421980136357302,0.06610655480061595,46.069769454811116,6.059071895405436e-06,10.312000000000001
14,NGC_2808,0.22,10.06,0.11,791000.0,7740.0,1.38,0.05,6.13,0.04,2.45,3.75,13.8,10.99822298470471,0.05380925783920004,15.012989903599543,0.023743734100078375,-9.564989903599542,0.04651628649210107,50.23347567738078,2.662948590916243e-06,5.4479999999999995
